condition_id,target_id,mean,median,p95,timax_mean,timax_median,timax_p95,volume
TI_1to1,hippocampus,0.0796,0.0697,0.183,0.194,0.1995,0.2415,4077.2
TI_1to1,right_hippocampus,0.0512,0.0406,0.1332,0.1402,0.1453,0.1709,4275.5
TI_1to1,cortex_anterior,0.0895,0.0556,0.2755,0.2599,0.2647,0.3293,1199.9
TI_1to1,cortex_middle,0.0784,0.0666,0.1931,0.2231,0.2111,0.3094,1284.3
TI_1to1,cortex_posterior,0.0735,0.0737,0.1375,0.1551,0.1529,0.1886,1385.2
TI_1to1,off_target_gray_matter,0.0501,0.0445,0.1232,0.1096,0.1009,0.2075,715577.8
